,wave_height,dominant_period,avg_period,dominant_wave_direction_sin,dominant_wave_direction_cos,wave_height_1.0_h,dominant_period_1.0_h,avg_period_1.0_h,dominant_wave_direction_sin_1.0_h,dominant_wave_direction_cos_1.0_h,wave_height_1.5_h,dominant_period_1.5_h,avg_period_1.5_h,dominant_wave_direction_sin_1.5_h,dominant_wave_direction_cos_1.5_h,wave_height_3.0_h,dominant_period_3.0_h,avg_period_3.0_h,dominant_wave_direction_sin_3.0_h,dominant_wave_direction_cos_3.0_h,wave_height_6.0_h,dominant_period_6.0_h,avg_period_6.0_h,dominant_wave_direction_sin_6.0_h,dominant_wave_direction_cos_6.0_h,wave_height_9.0_h,dominant_period_9.0_h,avg_period_9.0_h,dominant_wave_direction_sin_9.0_h,dominant_wave_direction_cos_9.0_h,score,wind_speed,gust_speed,wind_direction_sin,wind_direction_cos
2015-12-16 07:00:00,2.78,16.67,9.97,-0.6018150231520483,0.7986355100472928,2.5,18.18,10.09,-0.4694715627858908,0.882947592858927,2.93,16.67,11.03,-0.5877852522924732,0.8090169943749473,2.93,16.67,11.25,-0.544639035015027,0.838670567945424,2.2,18.18,10.1,-0.544639035015027,0.838670567945424,2.4,18.18,11.0,-0.529919264233205,0.8480480961564258,5.655,3.18,7.040000000000001,0.8957117602394129,0.4446351791849275
2015-12-16 07:30:00,2.99,16.67,10.71,-0.529919264233205,0.8480480961564258,3.04,15.38,11.26,-0.6018150231520483,0.7986355100472928,2.5,18.18,10.09,-0.4694715627858908,0.882947592858927,3.11,16.67,12.14,-0.5735764363510464,0.8191520442889916,2.84,16.67,11.76,-0.544639035015027,0.838670567945424,2.63,18.18,11.56,-0.6018150231520483,0.7986355100472928,7.215,3.02,6.5,0.9420574527872968,0.3354515697502548
2015-12-16 08:00:00,3.15,16.67,10.93,-0.544639035015027,0.838670567945424,2.78,16.67,9.97,-0.6018150231520483,0.7986355100472928,3.04,15.38,11.26,-0.6018150231520483,0.7986355100472928,3.0,16.67,11.38,-0.5735764363510464,0.8191520442889916,2.46,16.67,10.39,-0.544639035015027,0.838670567945424,2.4,18.18,10.74,-0.4226182617406991,0.90630778703665,7.42,3.26,6.92,0.9563047559630354,0.2923717047227367
2015-12-16 08:30:00,3.3,16.67,11.88,-0.5877852522924732,0.8090169943749473,2.99,16.67,10.71,-0.529919264233205,0.8480480961564258,2.78,16.67,9.97,-0.6018150231520483,0.7986355100472928,2.93,16.67,11.03,-0.5877852522924732,0.8090169943749473,2.53,16.67,10.67,-0.529919264233205,0.8480480961564258,2.41,15.38,10.68,-0.6691306063588581,0.7431448254773942,7.165,4.34,5.720000000000001,-0.9859960370705048,-0.1667687467161027
2015-12-16 09:00:00,3.09,16.67,11.25,-0.529919264233205,0.8480480961564258,3.15,16.67,10.93,-0.544639035015027,0.838670567945424,2.99,16.67,10.71,-0.529919264233205,0.8480480961564258,2.5,18.18,10.09,-0.4694715627858908,0.882947592858927,2.86,16.67,11.79,-0.6018150231520483,0.7986355100472928,2.32,16.67,10.41,-0.5877852522924732,0.8090169943749473,6.8,9.0,0.0,-0.987688340595138,0.1564344650402293
2015-12-16 09:30:00,2.82,16.67,10.69,-0.5735764363510464,0.8191520442889916,3.3,16.67,11.88,-0.5877852522924732,0.8090169943749473,3.15,16.67,10.93,-0.544639035015027,0.838670567945424,3.04,15.38,11.26,-0.6018150231520483,0.7986355100472928,2.76,16.67,11.53,-0.5000000000000004,0.8660254037844384,2.45,18.18,10.92,-0.6018150231520483,0.7986355100472928,8.129999999999999,9.0,0.0,-0.987688340595138,0.1564344650402293
2015-12-16 10:00:00,2.7,16.67,10.39,-0.3907311284892739,0.9205048534524404,3.09,16.67,11.25,-0.529919264233205,0.8480480961564258,3.3,16.67,11.88,-0.5877852522924732,0.8090169943749473,2.78,16.67,9.97,-0.6018150231520483,0.7986355100472928,2.93,16.67,11.25,-0.544639035015027,0.838670567945424,2.2,18.18,10.1,-0.544639035015027,0.838670567945424,10.5,4.220000000000001,5.4,-0.9396926207859084,-0.3420201433256685
2015-12-16 10:30:00,2.55,16.67,10.32,-0.529919264233205,0.8480480961564258,2.82,16.67,10.69,-0.5735764363510464,0.8191520442889916,3.09,16.67,11.25,-0.529919264233205,0.8480480961564258,2.99,16.67,10.71,-0.529919264233205,0.8480480961564258,3.11,16.67,12.14,-0.5735764363510464,0.8191520442889916,2.84,16.67,11.76,-0.544639035015027,0.838670567945424,12.58,3.22,6.34,0.9310558158625284,0.3648767843376198
2015-12-16 11:00:00,2.88,15.38,10.77,-0.6293203910498378,0.7771459614569706,2.7,16.67,10.39,-0.3907311284892739,0.9205048534524404,2.82,16.67,10.69,-0.5735764363510464,0.8191520442889916,3.15,16.67,10.93,-0.544639035015027,0.838670567945424,3.0,16.67,11.38,-0.5735764363510464,0.8191520442889916,2.46,16.67,10.39,-0.544639035015027,0.838670567945424,5.4350000000000005,3.44,6.94,0.9396926207859084,0.3420201433256688
2015-12-16 11:30:00,2.73,15.38,10.58,-0.6819983600624983,0.7313537016191707,2.55,16.67,10.32,-0.529919264233205,0.8480480961564258,2.7,16.67,10.39,-0.3907311284892739,0.9205048534524404,3.3,16.67,11.88,-0.5877852522924732,0.8090169943749473,2.93,16.67,11.03,-0.5877852522924732,0.8090169943749473,2.53,16.67,10.67,-0.529919264233205,0.8480480961564258,7.35,2.5,6.08,0.9396926207859084,0.3420201433256688
