#YY,MM,DD,hh,mm,WDIR,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2022,3,10,5,6,50,1.5,3.1,MM,MM,MM,MM,1018.1,24.6,25.3,MM,MM,MM,MM
2022,3,10,5,0,50,2.1,4.1,MM,MM,MM,MM,1018,24.6,25.2,MM,MM,1.8,MM
2022,3,10,4,54,50,2.1,4.1,MM,MM,MM,MM,1017.9,24.7,25.2,MM,MM,MM,MM
2022,3,10,4,48,30,1,4.6,MM,MM,MM,MM,1017.9,24.7,25.2,MM,MM,MM,MM
2022,3,10,4,42,60,2.6,4.1,MM,MM,MM,MM,1017.8,24.7,25.2,MM,MM,MM,MM
2022,3,10,4,36,50,2.6,4.6,MM,MM,MM,MM,1017.7,24.6,25.2,MM,MM,MM,MM
2022,3,10,4,30,50,2.1,3.6,MM,MM,MM,MM,1017.7,24.8,25.2,MM,MM,MM,MM
2022,3,10,4,24,40,1.5,3.6,MM,MM,MM,MM,1017.6,25.1,25.2,MM,MM,MM,MM
2022,3,10,4,18,30,1.5,3.1,MM,MM,MM,MM,1017.5,25.1,25.2,MM,MM,MM,MM
2022,3,10,4,12,60,2.1,4.1,MM,MM,MM,MM,1017.5,25.3,25.2,MM,MM,MM,MM
2022,3,10,4,6,70,2.6,5.1,MM,MM,MM,MM,1017.5,25.3,25.2,MM,MM,MM,MM
2022,3,10,4,0,20,1,3.1,MM,MM,MM,MM,1017.4,25.7,25.2,MM,MM,0.9,MM
2022,3,10,3,54,30,1.5,3.1,MM,MM,MM,MM,1017.3,25.8,25.3,MM,MM,MM,MM
2022,3,10,3,48,20,1.5,3.6,MM,MM,MM,MM,1017.3,25.8,25.3,MM,MM,MM,MM
2022,3,10,3,42,60,2.6,4.6,MM,MM,MM,MM,1017.2,25.9,25.4,MM,MM,MM,MM
2022,3,10,3,36,40,1.5,4.6,MM,MM,MM,MM,1017.1,26.1,25.4,MM,MM,MM,MM
2022,3,10,3,30,350,2.6,4.6,MM,MM,MM,MM,1017,26.3,25.4,MM,MM,MM,MM
2022,3,10,3,24,230,0.5,2.1,MM,MM,MM,MM,1016.9,26.3,25.4,MM,MM,MM,MM
2022,3,10,3,18,180,0.5,2.1,MM,MM,MM,MM,1016.8,26,25.4,MM,MM,MM,MM
2022,3,10,3,12,50,0.5,1.5,MM,MM,MM,MM,1016.7,26.3,25.4,MM,MM,MM,MM
2022,3,10,3,6,20,0.5,3.6,MM,MM,MM,MM,1016.7,26.2,25.4,MM,MM,MM,MM
2022,3,10,3,0,10,2.6,4.6,MM,MM,MM,MM,1016.7,26.1,25.3,MM,MM,-0.3,MM
2022,3,10,2,54,30,1,3.1,MM,MM,MM,MM,1016.6,26.2,25.3,MM,MM,MM,MM
2022,3,10,2,48,60,2.1,3.6,MM,MM,MM,MM,1016.6,26.1,25.3,MM,MM,MM,MM
2022,3,10,2,42,50,2.6,3.6,MM,MM,MM,MM,1016.6,26.1,25.3,MM,MM,MM,MM
2022,3,10,2,36,10,1,5.1,MM,MM,MM,MM,1016.5,26.1,25.3,MM,MM,MM,MM
2022,3,10,2,30,350,1.5,2.6,MM,MM,MM,MM,1016.4,26.1,25.3,MM,MM,MM,MM
2022,3,10,2,24,300,1.5,3.6,MM,MM,MM,MM,1016.4,25.8,25.5,MM,MM,MM,MM
2022,3,10,2,18,300,2.1,3.6,MM,MM,MM,MM,1016.4,25.9,25.3,MM,MM,MM,MM
2022,3,10,2,12,330,2.1,3.1,MM,MM,MM,MM,1016.2,26.2,25.3,MM,MM,MM,MM
2022,3,10,2,6,300,1,4.6,MM,MM,MM,MM,1016.2,26.2,25.3,MM,MM,MM,MM
2022,3,10,2,0,320,3.6,5.7,MM,MM,MM,MM,1016.2,26,25.3,MM,MM,-1,MM
2022,3,10,1,54,320,3.1,5.1,MM,MM,MM,MM,1016.2,26.2,25.3,MM,MM,MM,MM
2022,3,10,1,48,280,2.1,3.6,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM
2022,3,10,1,42,280,2.6,4.6,MM,MM,MM,MM,1016.2,26.2,25.2,MM,MM,MM,MM
2022,3,10,1,36,260,2.6,3.6,MM,MM,MM,MM,1016.2,26.2,25.2,MM,MM,MM,MM
2022,3,10,1,30,240,3.1,3.6,MM,MM,MM,MM,1016.3,26.3,25.2,MM,MM,MM,MM
2022,3,10,1,24,230,2.6,3.6,MM,MM,MM,MM,1016.3,26.3,25.2,MM,MM,MM,MM
2022,3,10,1,18,250,2.1,3.6,MM,MM,MM,MM,1016.4,26.6,25.2,MM,MM,MM,MM
2022,3,10,1,12,230,2.6,3.6,MM,MM,MM,MM,1016.4,26.6,25.1,MM,MM,MM,MM
2022,3,10,1,6,250,1.5,3.1,MM,MM,MM,MM,1016.4,26.9,25.1,MM,MM,MM,MM
2022,3,10,1,0,MM,MM,MM,MM,MM,MM,MM,1016.5,27.2,25.1,MM,MM,-1.6,MM
2022,3,10,0,54,MM,MM,MM,MM,MM,MM,MM,1016.5,27.2,25.1,MM,MM,MM,MM
2022,3,10,0,48,MM,MM,MM,MM,MM,MM,MM,1016.6,27.1,25.1,MM,MM,MM,MM
2022,3,10,0,42,230,1.5,3.6,MM,MM,MM,MM,1016.8,27.3,25.1,MM,MM,MM,MM
2022,3,10,0,36,220,2.1,4.1,MM,MM,MM,MM,1016.7,27.3,25.1,MM,MM,MM,MM
2022,3,10,0,30,250,2.6,4.6,MM,MM,MM,MM,1016.9,27.5,25.1,MM,MM,MM,MM
2022,3,10,0,24,210,1.5,4.6,MM,MM,MM,MM,1016.9,27.5,25.1,MM,MM,MM,MM
2022,3,10,0,18,220,3.1,4.1,MM,MM,MM,MM,1016.9,27.2,25.1,MM,MM,MM,MM
2022,3,10,0,12,190,3.1,4.6,MM,MM,MM,MM,1017,27.8,25.1,MM,MM,MM,MM
2022,3,10,0,6,190,3.6,5.1,MM,MM,MM,MM,1017,27.3,25.1,MM,MM,MM,MM
2022,3,10,0,0,190,3.1,5.7,MM,MM,MM,MM,1017,27.5,25.1,MM,MM,-2.1,MM
2022,3,9,23,54,140,2.6,5.1,MM,MM,MM,MM,1017,27.7,25.1,MM,MM,MM,MM
2022,3,9,23,48,170,2.6,4.6,MM,MM,MM,MM,1017.1,27.9,25.1,MM,MM,MM,MM
2022,3,9,23,42,160,2.6,5.1,MM,MM,MM,MM,1017.1,27.4,25.1,MM,MM,MM,MM
2022,3,9,23,36,190,3.1,5.1,MM,MM,MM,MM,1017.1,27,25.1,MM,MM,MM,MM
2022,3,9,23,30,190,3.1,5.1,MM,MM,MM,MM,1017,27.4,25.1,MM,MM,MM,MM
2022,3,9,23,24,200,3.6,5.1,MM,MM,MM,MM,1017,27.2,25.1,MM,MM,MM,MM
2022,3,9,23,18,200,3.1,5.1,MM,MM,MM,MM,1017,27.6,25.1,MM,MM,MM,MM
2022,3,9,23,12,200,2.6,5.1,MM,MM,MM,MM,1017.1,27.7,25,MM,MM,MM,MM
2022,3,9,23,6,210,3.1,5.1,MM,MM,MM,MM,1017.1,27.3,25.1,MM,MM,MM,MM
2022,3,9,23,0,170,3.1,4.6,MM,MM,MM,MM,1017.2,27.6,25.1,MM,MM,-2.4,MM
2022,3,9,22,54,160,2.6,4.6,MM,MM,MM,MM,1017.2,27.7,25.1,MM,MM,MM,MM
2022,3,9,22,48,150,2.1,4.1,MM,MM,MM,MM,1017.3,27.3,25.1,MM,MM,MM,MM
2022,3,9,22,42,180,2.1,4.6,MM,MM,MM,MM,1017.4,27.5,25,MM,MM,MM,MM
2022,3,9,22,36,180,2.1,4.1,MM,MM,MM,MM,1017.4,27.2,25,MM,MM,MM,MM
2022,3,9,22,30,180,1.5,4.6,MM,MM,MM,MM,1017.6,27.1,25.1,MM,MM,MM,MM
2022,3,9,22,24,170,2.6,4.1,MM,MM,MM,MM,1017.7,26.5,25,MM,MM,MM,MM
2022,3,9,22,18,170,2.1,5.1,MM,MM,MM,MM,1017.8,27.2,25,MM,MM,MM,MM
2022,3,9,22,12,160,2.6,4.6,MM,MM,MM,MM,1017.9,27.5,25,MM,MM,MM,MM
2022,3,9,22,6,150,3.1,5.7,MM,MM,MM,MM,1018,27.1,25,MM,MM,MM,MM
2022,3,9,22,0,160,3.1,4.6,MM,MM,MM,MM,1018.1,27.4,25.1,MM,MM,-1.4,MM
2022,3,9,21,54,170,2.6,3.6,MM,MM,MM,MM,1018.3,27.1,25.1,MM,MM,MM,MM
2022,3,9,21,48,180,2.1,3.6,MM,MM,MM,MM,1018.4,27.2,25.1,MM,MM,MM,MM
2022,3,9,21,42,190,3.1,4.6,MM,MM,MM,MM,1018.5,26.9,25.1,MM,MM,MM,MM
