#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,1,6,10,0,999,99,99,1.6,13,99,999,9999,999,24.3,999,99,99
2008,1,6,11,0,999,99,99,1.6,12,99,999,9999,999,24.3,999,99,99
2008,1,6,12,0,999,99,99,1.5,11,99,999,9999,999,24.2,999,99,99
2008,1,6,13,0,999,99,99,1.5,12,99,999,9999,999,24.2,999,99,99
2008,1,6,14,0,999,99,99,1.6,11,99,999,9999,999,24.2,999,99,99
2008,1,6,15,0,999,99,99,1.6,12,99,999,9999,999,24.2,999,99,99
2008,1,6,16,0,999,99,99,1.4,11,99,999,9999,999,24.2,999,99,99
2008,1,6,17,0,999,99,99,1.5,12,99,999,9999,999,24.2,999,99,99
2008,1,6,18,0,999,99,99,1.4,13,99,999,9999,999,24.3,999,99,99
2008,1,6,19,0,999,99,99,1.4,11,99,999,9999,999,24.4,999,99,99
2008,1,6,20,0,999,99,99,1.2,12,99,999,9999,999,24.6,999,99,99
2008,1,6,21,0,999,99,99,1.2,12,99,999,9999,999,24.6,999,99,99
2008,1,6,22,0,999,99,99,1.3,11,99,999,9999,999,24.6,999,99,99
2008,1,6,23,0,999,99,99,1.2,13,99,999,9999,999,24.7,999,99,99
2008,1,7,0,0,999,99,99,1.3,12,99,999,9999,999,24.6,999,99,99
2008,1,7,1,0,999,99,99,1,13,99,999,9999,999,24.6,999,99,99
2008,1,7,2,0,999,99,99,1.3,12,99,999,9999,999,24.6,999,99,99
2008,1,7,3,0,999,99,99,1.3,12,99,999,9999,999,24.6,999,99,99
2008,1,7,4,0,999,99,99,1.3,13,99,999,9999,999,24.5,999,99,99
2008,1,7,5,0,999,99,99,1.2,12,99,999,9999,999,24.4,999,99,99
2008,1,7,6,0,999,99,99,1.2,12,99,999,9999,999,24.4,999,99,99
2008,1,7,7,0,999,99,99,1.2,12,99,999,9999,999,24.5,999,99,99
2008,1,7,8,0,999,99,99,1,12,99,999,9999,999,24.6,999,99,99
2008,1,7,9,0,999,99,99,1.2,12,99,999,9999,999,24.6,999,99,99
2008,1,7,10,0,999,99,99,1,12,99,999,9999,999,24.6,999,99,99
2008,1,7,11,0,999,99,99,1.1,12,99,999,9999,999,24.5,999,99,99
2008,1,7,12,0,999,99,99,1,12,99,999,9999,999,24.5,999,99,99
2008,1,7,13,0,999,99,99,1.1,12,99,999,9999,999,24.5,999,99,99
2008,1,7,14,0,999,99,99,1,11,99,999,9999,999,24.5,999,99,99
2008,1,7,15,0,999,99,99,1,12,99,999,9999,999,24.4,999,99,99
2008,1,7,16,0,999,99,99,1.1,11,99,999,9999,999,24.4,999,99,99
2008,1,7,17,0,999,99,99,1.1,12,99,999,9999,999,24.4,999,99,99
2008,1,7,18,0,999,99,99,1,11,99,999,9999,999,24.5,999,99,99
2008,1,7,19,0,999,99,99,1.1,11,99,999,9999,999,24.6,999,99,99
2008,1,7,20,0,999,99,99,1.1,12,99,999,9999,999,24.8,999,99,99
2008,1,7,21,0,999,99,99,1,12,99,999,9999,999,25,999,99,99
2008,1,7,22,0,999,99,99,1,11,99,999,9999,999,25,999,99,99
2008,1,7,23,0,999,99,99,1,11,99,999,9999,999,25,999,99,99
2008,1,8,0,0,999,99,99,1,12,99,999,9999,999,25.2,999,99,99
2008,1,8,1,0,999,99,99,1,12,99,999,9999,999,25,999,99,99
2008,1,8,2,0,999,99,99,0.9,11,99,999,9999,999,25,999,99,99
2008,1,8,3,0,999,99,99,1,12,99,999,9999,999,24.8,999,99,99
2008,1,8,4,0,999,99,99,0.9,12,99,999,9999,999,24.8,999,99,99
2008,1,8,5,0,999,99,99,0.9,11,99,999,9999,999,24.7,999,99,99
2008,1,8,6,0,999,99,99,0.9,13,99,999,9999,999,24.6,999,99,99
2008,1,8,7,0,999,99,99,0.9,12,99,999,9999,999,24.8,999,99,99
2008,1,8,8,0,999,99,99,0.9,12,99,999,9999,999,24.6,999,99,99
2008,1,8,9,0,999,99,99,1,12,99,999,9999,999,24.6,999,99,99
2008,1,8,10,0,999,99,99,0.9,11,99,999,9999,999,24.6,999,99,99
2008,1,8,11,0,999,99,99,0.9,12,99,999,9999,999,24.6,999,99,99
2008,1,8,12,0,999,99,99,0.9,12,99,999,9999,999,24.5,999,99,99
2008,1,8,13,0,999,99,99,0.9,12,99,999,9999,999,24.6,999,99,99
2008,1,8,14,0,999,99,99,0.8,11,99,999,9999,999,24.6,999,99,99
2008,1,8,15,0,999,99,99,0.9,12,99,999,9999,999,24.6,999,99,99
2008,1,8,16,0,999,99,99,0.9,12,99,999,9999,999,24.6,999,99,99
2008,1,8,17,0,999,99,99,0.9,12,99,999,9999,999,24.5,999,99,99
2008,1,8,18,0,999,99,99,0.8,12,99,999,9999,999,24.5,999,99,99
2008,1,8,19,0,999,99,99,1,15,99,999,9999,999,24.5,999,99,99
2008,1,8,20,0,999,99,99,1,15,99,999,9999,999,24.6,999,99,99
2008,1,8,21,0,999,99,99,0.9,12,99,999,9999,999,25,999,99,99
2008,1,8,22,0,999,99,99,0.9,15,99,999,9999,999,25.2,999,99,99
2008,1,8,23,0,999,99,99,1,14,99,999,9999,999,25.4,999,99,99
2008,1,9,0,0,999,99,99,1,14,99,999,9999,999,25.6,999,99,99
2008,1,9,1,0,999,99,99,1.1,13,99,999,9999,999,25.3,999,99,99
2008,1,9,2,0,999,99,99,1.4,14,99,999,9999,999,25,999,99,99
2008,1,9,3,0,999,99,99,1.6,14,99,999,9999,999,25,999,99,99
2008,1,9,4,0,999,99,99,1.5,13,99,999,9999,999,24.8,999,99,99
2008,1,9,5,0,999,99,99,1.5,12,99,999,9999,999,25,999,99,99
2008,1,9,6,0,999,99,99,1.5,13,99,999,9999,999,24.9,999,99,99
2008,1,9,7,0,999,99,99,1.7,12,99,999,9999,999,24.8,999,99,99
2008,1,9,8,0,999,99,99,1.7,12,99,999,9999,999,24.8,999,99,99
2008,1,9,9,0,999,99,99,1.7,12,99,999,9999,999,24.6,999,99,99
2008,1,9,10,0,999,99,99,2,12,99,999,9999,999,24.6,999,99,99
2008,1,9,11,0,999,99,99,1.8,11,99,999,9999,999,24.6,999,99,99
2008,1,9,12,0,999,99,99,1.9,12,99,999,9999,999,24.6,999,99,99
2008,1,9,13,0,999,99,99,2,13,99,999,9999,999,24.6,999,99,99
2008,1,9,14,0,999,99,99,2,12,99,999,9999,999,24.6,999,99,99
2008,1,9,15,0,999,99,99,1.9,12,99,999,9999,999,24.5,999,99,99
2008,1,9,16,0,999,99,99,2,14,99,999,9999,999,24.5,999,99,99
2008,1,9,17,0,999,99,99,1.7,12,99,999,9999,999,24.4,999,99,99
2008,1,9,18,0,999,99,99,2,14,99,999,9999,999,24.5,999,99,99
2008,1,9,19,0,999,99,99,2.1,20,99,999,9999,999,24.5,999,99,99
2008,1,9,20,0,999,99,99,2.6,20,99,999,9999,999,24.6,999,99,99
2008,1,9,21,0,999,99,99,2.3,20,99,999,9999,999,24.6,999,99,99
2008,1,9,22,0,999,99,99,2.7,20,99,999,9999,999,24.6,999,99,99
2008,1,9,23,0,999,99,99,2.9,20,99,999,9999,999,24.7,999,99,99
2008,1,10,0,0,999,99,99,2.9,18,99,999,9999,999,24.6,999,99,99
2008,1,10,1,0,999,99,99,3.4,18,99,999,9999,999,24.6,999,99,99
2008,1,10,2,0,999,99,99,3.4,18,99,999,9999,999,24.6,999,99,99
2008,1,10,3,0,999,99,99,3.9,17,99,999,9999,999,24.6,999,99,99
2008,1,10,4,0,999,99,99,3.3,17,99,999,9999,999,24.6,999,99,99
2008,1,10,5,0,999,99,99,4.4,17,99,999,9999,999,24.6,999,99,99
2008,1,10,6,0,999,99,99,3.9,17,99,999,9999,999,24.6,999,99,99
2008,1,10,7,0,999,99,99,3.5,15,99,999,9999,999,24.6,999,99,99
2008,1,10,8,0,999,99,99,3.3,17,99,999,9999,999,24.6,999,99,99
2008,1,10,9,0,999,99,99,3.4,17,99,999,9999,999,24.6,999,99,99
2008,1,10,10,0,999,99,99,3,17,99,999,9999,999,24.5,999,99,99
2008,1,10,11,0,999,99,99,3,17,99,999,9999,999,24.5,999,99,99
2008,1,10,12,0,999,99,99,3.4,15,99,999,9999,999,24.6,999,99,99
2008,1,10,13,0,999,99,99,3.3,15,99,999,9999,999,24.6,999,99,99
2008,1,10,14,0,999,99,99,3.8,17,99,999,9999,999,24.5,999,99,99
2008,1,10,15,0,999,99,99,3.8,15,99,999,9999,999,24.5,999,99,99
2008,1,10,16,0,999,99,99,3.5,17,99,999,9999,999,24.5,999,99,99
2008,1,10,17,0,999,99,99,4.2,15,99,999,9999,999,24.5,999,99,99
2008,1,10,18,0,999,99,99,3.8,17,99,999,9999,999,24.4,999,99,99
2008,1,10,19,0,999,99,99,3.8,15,99,999,9999,999,24.5,999,99,99
2008,1,10,20,0,999,99,99,4.2,15,99,999,9999,999,24.6,999,99,99
2008,1,10,21,0,999,99,99,4,15,99,999,9999,999,24.8,999,99,99
2008,1,10,22,0,999,99,99,3.6,15,99,999,9999,999,25,999,99,99
2008,1,10,23,0,999,99,99,4.1,15,99,999,9999,999,25.2,999,99,99
2008,1,11,0,0,999,99,99,3.6,15,99,999,9999,999,24.8,999,99,99
2008,1,11,1,0,999,99,99,3.9,14,99,999,9999,999,24.6,999,99,99
2008,1,11,2,0,999,99,99,3.8,14,99,999,9999,999,24.6,999,99,99
2008,1,11,3,0,999,99,99,4.1,15,99,999,9999,999,24.6,999,99,99
2008,1,11,4,0,999,99,99,4.1,15,99,999,9999,999,24.6,999,99,99
2008,1,11,5,0,999,99,99,3.8,14,99,999,9999,999,24.5,999,99,99
2008,1,11,6,0,999,99,99,3.8,15,99,999,9999,999,24.5,999,99,99
2008,1,11,7,0,999,99,99,3.5,15,99,999,9999,999,24.5,999,99,99
2008,1,11,8,0,999,99,99,3.2,15,99,999,9999,999,24.5,999,99,99
2008,1,11,9,0,999,99,99,3.4,14,99,999,9999,999,24.5,999,99,99
2008,1,11,10,0,999,99,99,3.2,14,99,999,9999,999,24.6,999,99,99
2008,1,11,11,0,999,99,99,3.1,14,99,999,9999,999,24.5,999,99,99
2008,1,11,12,0,999,99,99,3.1,14,99,999,9999,999,24.6,999,99,99
2008,1,11,13,0,999,99,99,3,14,99,999,9999,999,24.5,999,99,99
2008,1,11,14,0,999,99,99,2.8,13,99,999,9999,999,24.5,999,99,99
2008,1,11,15,0,999,99,99,3.1,13,99,999,9999,999,24.5,999,99,99
2008,1,11,16,0,999,99,99,3,13,99,999,9999,999,24.5,999,99,99
2008,1,11,19,0,999,99,99,2.7,14,99,999,9999,999,24.4,999,99,99
2008,1,11,20,0,999,99,99,2.8,13,99,999,9999,999,24.5,999,99,99
2008,1,11,21,0,999,99,99,2.3,13,99,999,9999,999,24.6,999,99,99
2008,1,11,22,0,999,99,99,2.6,13,99,999,9999,999,24.6,999,99,99
2008,1,11,23,0,999,99,99,2.4,13,99,999,9999,999,24.6,999,99,99
2008,1,12,0,0,999,99,99,2.3,13,99,999,9999,999,24.6,999,99,99
2008,1,12,1,0,999,99,99,2.2,12,99,999,9999,999,24.6,999,99,99
2008,1,12,2,0,999,99,99,3,12,99,999,9999,999,24.6,999,99,99
2008,1,12,3,0,999,99,99,2.7,13,99,999,9999,999,24.6,999,99,99
2008,1,12,4,0,999,99,99,2.7,12,99,999,9999,999,24.6,999,99,99
2008,1,12,5,0,999,99,99,2.8,12,99,999,9999,999,24.6,999,99,99
2008,1,12,6,0,999,99,99,3,12,99,999,9999,999,24.6,999,99,99
2008,1,12,7,0,999,99,99,3,12,99,999,9999,999,24.6,999,99,99
2008,1,12,8,0,999,99,99,3,12,99,999,9999,999,24.5,999,99,99
2008,1,12,9,0,999,99,99,2.7,13,99,999,9999,999,24.5,999,99,99
2008,1,12,10,0,999,99,99,2.8,12,99,999,9999,999,24.5,999,99,99
2008,1,12,11,0,999,99,99,2.7,12,99,999,9999,999,24.5,999,99,99
2008,1,12,12,0,999,99,99,2.4,12,99,999,9999,999,24.5,999,99,99
2008,1,12,13,0,999,99,99,2.4,12,99,999,9999,999,24.5,999,99,99
2008,1,12,14,0,999,99,99,2.5,13,99,999,9999,999,24.4,999,99,99
2008,1,12,15,0,999,99,99,2.6,12,99,999,9999,999,24.4,999,99,99
2008,1,12,16,0,999,99,99,2.5,12,99,999,9999,999,24.4,999,99,99
2008,1,12,20,0,999,99,99,2.3,12,99,999,9999,999,24.6,999,99,99
2008,1,12,21,0,999,99,99,2.5,12,99,999,9999,999,24.6,999,99,99
2008,1,12,22,0,999,99,99,2,12,99,999,9999,999,24.6,999,99,99
2008,1,12,23,0,999,99,99,2,12,99,999,9999,999,24.6,999,99,99
2008,1,13,0,0,999,99,99,2,12,99,999,9999,999,24.7,999,99,99
2008,1,13,1,0,999,99,99,2,11,99,999,9999,999,24.8,999,99,99
2008,1,13,2,0,999,99,99,2,12,99,999,9999,999,24.8,999,99,99
2008,1,13,3,0,999,99,99,1.9,11,99,999,9999,999,24.7,999,99,99
2008,1,13,4,0,999,99,99,2,11,99,999,9999,999,24.6,999,99,99
2008,1,13,5,0,999,99,99,2,12,99,999,9999,999,24.6,999,99,99
2008,1,13,6,0,999,99,99,2,12,99,999,9999,999,24.5,999,99,99
2008,1,13,7,0,999,99,99,2.3,11,99,999,9999,999,24.5,999,99,99
2008,1,13,8,0,999,99,99,2.5,12,99,999,9999,999,24.4,999,99,99
2008,1,13,9,0,999,99,99,2.1,11,99,999,9999,999,24.4,999,99,99
2008,1,13,10,0,999,99,99,2.3,20,99,999,9999,999,24.4,999,99,99
2008,1,13,11,0,999,99,99,2.1,20,99,999,9999,999,24.4,999,99,99
2008,1,13,12,0,999,99,99,2.5,18,99,999,9999,999,24.4,999,99,99
2008,1,13,13,0,999,99,99,2.9,20,99,999,9999,999,24.5,999,99,99
2008,1,13,14,0,999,99,99,3.3,20,99,999,9999,999,24.4,999,99,99
2008,1,13,15,0,999,99,99,4,20,99,999,9999,999,24.4,999,99,99
2008,1,13,16,0,999,99,99,5.4,20,99,999,9999,999,24.4,999,99,99
2008,1,13,17,0,999,99,99,4.2,20,99,999,9999,999,24.4,999,99,99
2008,1,13,18,0,999,99,99,4.9,20,99,999,9999,999,24.4,999,99,99
2008,1,13,19,0,999,99,99,5.5,18,99,999,9999,999,24.3,999,99,99
2008,1,13,20,0,999,99,99,4.9,17,99,999,9999,999,24.2,999,99,99
2008,1,13,21,0,999,99,99,5.4,20,99,999,9999,999,24.2,999,99,99
2008,1,13,22,0,999,99,99,5.5,17,99,999,9999,999,24.2,999,99,99
2008,1,13,23,0,999,99,99,6.1,18,99,999,9999,999,24.2,999,99,99
2008,1,14,0,0,999,99,99,5.4,17,99,999,9999,999,24.3,999,99,99
2008,1,14,1,0,999,99,99,5.4,18,99,999,9999,999,24.3,999,99,99
2008,1,14,3,0,999,99,99,5,18,99,999,9999,999,24.3,999,99,99
2008,1,14,4,0,999,99,99,4.7,18,99,999,9999,999,24.2,999,99,99
2008,1,14,5,0,999,99,99,5,17,99,999,9999,999,24.2,999,99,99
2008,1,14,6,0,999,99,99,4.5,17,99,999,9999,999,24.2,999,99,99
2008,1,14,7,0,999,99,99,4.7,17,99,999,9999,999,24.1,999,99,99
2008,1,14,8,0,999,99,99,4.3,17,99,999,9999,999,24,999,99,99
2008,1,14,9,0,999,99,99,5.4,15,99,999,9999,999,24,999,99,99
2008,1,14,10,0,999,99,99,5,17,99,999,9999,999,24,999,99,99
2008,1,14,11,0,999,99,99,4.3,15,99,999,9999,999,24,999,99,99
2008,1,14,12,0,999,99,99,4.9,15,99,999,9999,999,24.1,999,99,99
2008,1,14,13,0,999,99,99,4.1,15,99,999,9999,999,24.1,999,99,99
2008,1,14,14,0,999,99,99,4.5,15,99,999,9999,999,24,999,99,99
2008,1,14,15,0,999,99,99,3.9,15,99,999,9999,999,24,999,99,99
2008,1,14,16,0,999,99,99,4.1,15,99,999,9999,999,24,999,99,99
2008,1,14,17,0,999,99,99,4.2,14,99,999,9999,999,24,999,99,99
2008,1,14,18,0,999,99,99,4.2,13,99,999,9999,999,24,999,99,99
2008,1,14,19,0,999,99,99,4.2,14,99,999,9999,999,24,999,99,99
2008,1,14,20,0,999,99,99,4.4,14,99,999,9999,999,23.9,999,99,99
