#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2019,1,6,7,12,999,99,99,1.48,11.11,7.43,345,9999,999,23.4,999,99,99
2019,1,6,7,42,999,99,99,1.46,11.11,7.32,334,9999,999,23.4,999,99,99
2019,1,6,8,12,999,99,99,1.41,9.88,7.11,354,9999,999,23.4,999,99,99
2019,1,6,8,42,999,99,99,1.39,11.11,7.41,349,9999,999,23.4,999,99,99
2019,1,6,9,42,999,99,99,1.42,9.88,7.46,1,9999,999,23.4,999,99,99
2019,1,6,10,12,999,99,99,1.37,10.53,7.19,16,9999,999,23.4,999,99,99
2019,1,6,10,42,999,99,99,1.45,11.11,7.4,344,9999,999,23.4,999,99,99
2019,1,6,11,12,999,99,99,1.37,9.88,7.07,342,9999,999,23.4,999,99,99
2019,1,6,11,42,999,99,99,1.36,11.11,7.19,337,9999,999,23.4,999,99,99
2019,1,6,12,12,999,99,99,1.26,9.88,6.89,358,9999,999,23.4,999,99,99
2019,1,6,12,42,999,99,99,1.37,9.88,7.06,2,9999,999,23.4,999,99,99
2019,1,6,13,12,999,99,99,1.37,10.53,7.02,10,9999,999,23.4,999,99,99
2019,1,6,13,42,999,99,99,1.26,9.09,6.88,24,9999,999,23.4,999,99,99
2019,1,6,14,12,999,99,99,1.31,9.88,6.82,10,9999,999,23.4,999,99,99
2019,1,6,14,42,999,99,99,1.26,10.53,6.95,347,9999,999,23.4,999,99,99
2019,1,6,15,12,999,99,99,1.22,9.88,6.87,8,9999,999,23.4,999,99,99
2019,1,6,15,42,999,99,99,1.23,9.09,6.76,22,9999,999,23.3,999,99,99
2019,1,6,16,12,999,99,99,1.21,10.53,6.71,2,9999,999,23.3,999,99,99
2019,1,6,16,42,999,99,99,1.21,10.53,6.77,352,9999,999,23.3,999,99,99
2019,1,6,17,12,999,99,99,1.07,9.88,6.54,3,9999,999,23.3,999,99,99
2019,1,6,17,42,999,99,99,1.23,9.09,6.87,20,9999,999,23.3,999,99,99
2019,1,6,18,12,999,99,99,1.21,11.11,7.04,328,9999,999,23.3,999,99,99
2019,1,6,18,42,999,99,99,1.09,10.53,6.68,345,9999,999,23.4,999,99,99
2019,1,6,19,12,999,99,99,1.21,9.88,6.88,5,9999,999,23.4,999,99,99
2019,1,6,19,42,999,99,99,1.13,9.88,6.95,355,9999,999,23.4,999,99,99
2019,1,6,20,12,999,99,99,1.15,9.88,7.18,5,9999,999,23.5,999,99,99
2019,1,6,20,42,999,99,99,1.15,9.09,6.88,16,9999,999,23.6,999,99,99
2019,1,6,21,12,999,99,99,1.2,10.53,7.15,358,9999,999,23.7,999,99,99
2019,1,6,21,42,999,99,99,1.1,9.88,7.05,2,9999,999,23.7,999,99,99
2019,1,6,22,12,999,99,99,1.03,9.09,6.59,27,9999,999,23.7,999,99,99
2019,1,6,22,42,999,99,99,1.03,10.53,6.63,1,9999,999,23.7,999,99,99
2019,1,6,23,12,999,99,99,1.06,11.76,7.06,321,9999,999,23.7,999,99,99
2019,1,6,23,42,999,99,99,1.05,9.88,6.64,356,9999,999,23.8,999,99,99
2019,1,7,0,12,999,99,99,0.96,11.76,6.77,334,9999,999,23.9,999,99,99
2019,1,7,0,42,999,99,99,1.03,10.53,6.84,342,9999,999,23.8,999,99,99
2019,1,7,1,12,999,99,99,1.05,9.09,6.88,9,9999,999,23.8,999,99,99
2019,1,7,2,12,999,99,99,0.98,10.53,6.89,313,9999,999,24,999,99,99
2019,1,7,2,42,999,99,99,0.95,9.09,6.51,5,9999,999,23.9,999,99,99
2019,1,7,3,12,999,99,99,0.94,12.5,6.52,309,9999,999,23.8,999,99,99
2019,1,7,3,42,999,99,99,0.97,9.09,6.82,8,9999,999,23.7,999,99,99
2019,1,7,4,12,999,99,99,0.93,11.76,6.84,309,9999,999,23.6,999,99,99
2019,1,7,4,42,999,99,99,0.91,11.11,6.83,304,9999,999,23.5,999,99,99
2019,1,7,5,12,999,99,99,0.98,11.11,7.49,302,9999,999,23.5,999,99,99
2019,1,7,5,42,999,99,99,0.92,10.53,7.18,314,9999,999,23.5,999,99,99
2019,1,7,6,12,999,99,99,0.86,10.53,7.15,325,9999,999,23.5,999,99,99
2019,1,7,6,42,999,99,99,0.91,10.53,7.41,332,9999,999,23.5,999,99,99
2019,1,7,7,12,999,99,99,0.83,12.5,7.07,300,9999,999,23.4,999,99,99
2019,1,7,7,42,999,99,99,0.9,9.88,7.8,349,9999,999,23.5,999,99,99
2019,1,7,8,12,999,99,99,0.81,11.76,7.58,318,9999,999,23.5,999,99,99
2019,1,7,8,42,999,99,99,0.8,11.76,7.7,307,9999,999,23.5,999,99,99
2019,1,7,9,12,999,99,99,0.8,11.11,7.7,311,9999,999,23.4,999,99,99
2019,1,7,9,42,999,99,99,0.8,10.53,7.48,318,9999,999,23.5,999,99,99
2019,1,7,10,12,999,99,99,0.77,11.76,7.47,316,9999,999,23.5,999,99,99
