#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
#yr,mo,dy,hr,mn,m,m,sec,m,sec,-,degT,-,sec,degT
2022,3,12,0,26,1.3,1.1,15.4,0.8,9.1,NW,NE,SWELL,7.6,321
2022,3,11,23,56,1.3,1.1,14.3,0.8,9.1,NW,NNE,SWELL,7.8,304
2022,3,11,23,26,1.3,1.1,14.3,0.8,9.1,NW,NNE,SWELL,8,307
2022,3,11,22,56,1.5,1.2,15.4,0.8,9.1,NW,NNE,SWELL,8.9,311
2022,3,11,22,26,1.4,1.1,14.3,0.8,9.9,NW,N,SWELL,8.1,311
2022,3,11,21,56,1.4,1.1,15.4,0.8,8.3,NW,NE,SWELL,8,308
2022,3,11,21,26,1.5,1.2,15.4,0.8,8.3,WNW,NE,SWELL,9.1,303
2022,3,11,20,56,1.4,1.1,15.4,0.8,9.1,NW,NNE,SWELL,8.3,317
2022,3,11,20,26,1.4,1.1,15.4,0.8,8.3,NW,NNE,SWELL,8.7,310
2022,3,11,19,56,1.4,1.2,15.4,0.8,9.1,NW,NNE,SWELL,9.1,308
2022,3,11,19,26,1.3,1.1,15.4,0.8,9.1,NW,NNE,SWELL,8.8,317
2022,3,11,18,56,1.3,1,15.4,0.8,9.1,NW,NNE,SWELL,8.8,312
2022,3,11,18,26,1.1,0.8,16.7,0.7,9.1,NW,NNE,SWELL,7.8,321
2022,3,11,17,56,1.2,0.9,16.7,0.8,9.9,NW,NNE,SWELL,8.6,314
2022,3,11,17,26,1.1,0.9,15.4,0.7,9.1,NW,NE,SWELL,8.6,317
2022,3,11,16,56,1.1,0.8,16.7,0.8,9.9,NW,NNE,SWELL,8.3,315
2022,3,11,16,26,1.2,0.9,16.7,0.9,9.1,NW,NE,SWELL,8.3,318
2022,3,11,15,56,1.2,1,16.7,0.8,9.1,NW,NNE,SWELL,8.9,312
2022,3,11,15,26,1.1,0.8,16.7,0.8,9.1,NW,NE,SWELL,7.6,317
2022,3,11,14,56,1.1,0.7,16.7,0.8,9.1,WNW,NNE,AVERAGE,7.4,303
2022,3,11,14,26,1.1,0.7,16.7,0.8,8.3,NW,NE,AVERAGE,7.5,317
2022,3,11,13,56,1.1,0.7,16.7,0.8,8.3,NW,NE,AVERAGE,7.3,324
2022,3,11,13,26,1,0.6,16.7,0.9,9.1,NW,NE,AVERAGE,7.1,321
2022,3,11,12,56,1.1,0.7,16.7,0.8,8.3,NW,NE,AVERAGE,7.3,318
