,year,event,round,heat,name,scores
90,2008,Quiksilver Pro Gold Coast,Round 3,Heat 7 ,Leonardo Neves,"[6.17, 7.83]"
91,2008,Quiksilver Pro Gold Coast,Round 3,Heat 7 ,Neco Padaratz,"[1.0, 5.83, 2.83, 1.07, 2.07]"
92,2008,Quiksilver Pro Gold Coast,Round 3,Heat 8 ,Mick Fanning,"[7.0, 8.5, 9.07, 7.83, 6.0, 0.9, 5.0, 2.8]"
93,2008,Quiksilver Pro Gold Coast,Round 3,Heat 8 ,Julian Wilson,"[2.5, 3.33, 0.5, 4.0]"
94,2008,Quiksilver Pro Gold Coast,Round 3,Heat 9 ,Taj Burrow,"[9.87, 9.33, 5.67, 1.13, 2.4, 0.83]"
95,2008,Quiksilver Pro Gold Coast,Round 3,Heat 9 ,Mikael Picon,"[1.5, 1.0, 1.7, 1.83, 3.33, 4.33]"
96,2008,Quiksilver Pro Gold Coast,Round 3,Heat 10 ,Adrian Buchan,"[6.67, 1.0, 2.67, 5.5, 2.4, 1.5, 0.6, 7.5]"
97,2008,Quiksilver Pro Gold Coast,Round 3,Heat 10 ,Bruce Irons,"[4.17, 1.77, 2.27, 1.23, 1.43]"
98,2008,Quiksilver Pro Gold Coast,Round 3,Heat 11 ,Jeremy Flores,"[5.5, 4.67, 4.23, 1.93, 0.7, 7.33, 1.07, 5.1]"
99,2008,Quiksilver Pro Gold Coast,Round 3,Heat 11 ,Jay Thompson,[5.23]
100,2008,Quiksilver Pro Gold Coast,Round 3,Heat 12 ,Tim Reyes,"[7.67, 8.83, 3.17, 1.8]"
101,2008,Quiksilver Pro Gold Coast,Round 3,Heat 12 ,C.J. Hobgood,"[6.67, 5.33, 6.33, 1.4, 5.17, 3.57]"
102,2008,Quiksilver Pro Gold Coast,Round 3,Heat 13 ,Kelly Slater,"[5.0, 0.4, 0.63, 7.83, 8.5, 2.4, 9.43, 0.93, 2.13, 3.77, 1.0]"
103,2008,Quiksilver Pro Gold Coast,Round 3,Heat 13 ,Heitor Alves,"[6.83, 0.5, 1.9, 7.0, 1.0, 4.17, 4.6, 0.43, 4.37]"
104,2008,Quiksilver Pro Gold Coast,Round 3,Heat 14 ,Adriano de Souza,"[0.43, 8.0, 3.43, 5.17, 1.43]"
